team_id,rating,wins,losses,last_match_time,name,tag,logo_url
3586078,1241.98,291,237,1598956612,Geek Fam,GeekFam,https://steamusercontent-a.akamaihd.net/ugc/1012688131496596029/2C8239D829D22AA3CC3C2670B3A70ACA599F4D3A/
2790766,1241.4,140,144,1515791892,,,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2790766.png
2576071,1240.67,22,6,1602086282,Yellow Submarine,YeS,
2621843,1240.18,303,235,1546459686,Team. Spirit,TSpirit,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2621843.png
41,1235.91,116,106,1427741342,4 Friends + Chrillee,4FC,https://steamusercontent-a.akamaihd.net/ugc/706274505311787193/24FA17D5019799AF118AEB4469DDB76D69A66F63/
4288603,1230.49,71,44,1522130537,Rock.Young,Rock.Y,https://steamusercontent-a.akamaihd.net/ugc/924796104665763830/965117DF684B6E3801028E33DF02B8528A18E752/
2006913,1228.39,565,478,1565806832,Vega Squadron,Vega,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2006913.png
7681441,1226.73,83,82,1599269045,business associates,business,https://steamusercontent-a.akamaihd.net/ugc/789755010916561479/354F9DF6125FE48FC70FF8588985EF77E8CDDAAE/
8118983,1226.45,25,16,1602410785,phoenix gaming,phoenix,https://steamusercontent-a.akamaihd.net/ugc/1629698156019434544/E3D89D10930B122627E574939655669251EAD3D2/
1025734,1226.01,40,12,1448418242,LUCCINI GAM1NG,Luccini,
1803996,1223.67,22,15,1431260006,NAM VEZET-MI IGRAEM,NVMI,https://steamusercontent-a.akamaihd.net/ugc/575652270942579148/9B38BEC3BEDEE0E300138929E3C802FA9F5ACDCB/
1556884,1223.17,52,19,1418332963,AftershockGaming Int.,aShock,https://steamusercontent-a.akamaihd.net/ugc/776056112971508921/DF725FB62C1B052CE52381747AE7C296A65A4051/
2108395,1222.07,556,393,1603696579,TNC Predator,TNC,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/2108395.png
8113533,1221.93,23,4,1603645165,N1ghtmares,N1ght,https://steamusercontent-a.akamaihd.net/ugc/1620688649886869790/658FB395CB7203E9984F42B0FB7619FE7163B51D/
2006291,1221.1,20,8,1419620393,Lajons,,https://steamusercontent-a.akamaihd.net/ugc/541884168947857532/A265E0462753D3981E33961066F897E7C1E6AFDC/
1453020,1220.94,142,82,1442178578,Sneaky Nyx Assassins,Nyx,https://steamusercontent-a.akamaihd.net/ugc/3281180234046031347/2975FFC5B5EB653F5165D7D4E8698C30CEE8AF07/
4372042,1219.81,24,12,1498795215,Team Freedom,Freedom,https://steamusercontent-a.akamaihd.net/ugc/788539568429905171/E19817F8B3BFA2F8CDB6F6694F9E024391E82CA0/
5,1218.54,1130,785,1603522351,INVICTUS GAMING,IG,https://steamcdn-a.akamaihd.net/apps/dota2/images/team_logos/5.png
2780729,1218.12,35,6,1468142705,G.star,GS,https://steamusercontent-a.akamaihd.net/ugc/455236803146988180/37D5285DC80FFBEDF84FD0347ADE2E89A4E29731/
